# NOAA Paleoclimatology Program - Paleocean Site Data
# odp1143-tab.txt
# Complete Data
# File Created: 17-Apr-2006
#
#*********************************************************************************
# Please cite the contributor and the original publications when using these data
#*********************************************************************************
#
# Missing Values indicated by '-999'
#
# PI:             Jun Tian
# Core/Site:      ODP1143
# Latitude:       9.21.43N	( 9.36194)
# Longitude:      113.17.07E	( 113.2853)
# Water Depth(m): 2772
#
# Publications:
#   Tian J., P.X. Wang, X.R. Chen, Q.Y. Li. 2002. Astronomically tuned Plio-Pleistocene
#     benthic d18O records from South China Sea and Atlantic-Pacific comparison. Earth
#     and Planetary Science Letters, 203, issues 3-4, pp.1015-1029
#------------------
#
# Description & Notes:
#   South China Sea Benthic Foraminiferal Stable Isotope Data.
#   Cibicidoides wuellerstorfi studied were larger than 150 microns.
#
# Variables:
#             depth         Depth (cm)
#             yrBP          radiocarbon years B.P. (Libby half-life; B.P. = 1950)
#             d13Cc.wuell   delta C13 PDB (Cibicidoides wuellerstorfi)
#             d18Oc.wuell   delta O18 PDB (Cibicidoides wuellerstorfi)
#
# CORE: ODP1143
depth	yrBP 	d13Cc.wuell	d18Oc.wuell	
4064	755850	-0.35	3.625	
4074	760375.1	-0.503	3.667	
4084	764900	-0.528	3.481	
4094	765800	-0.441	3.706	
4104	766700	-0.626	3.75	
4114	767600	-0.169	3.41	
4124	768500.1	-0.611	3.546	
4134	769400	-0.466	3.661	
4174	773000.1	-0.374	3.58	
4184	773900	-0.335	3.331	
4194	774800	-0.25	3.613	
4204	775700	-0.337	3.335	
4214	776600	-0.334	3.333	
4224	777500.1	-0.266	3.066	
4234	778400	-0.148	3.06	
4244	779433.3	-0.226	2.733	
4254	780466.7	-0.211	2.949	
4264	781500	-0.45	2.987	
4274	785805.7	-0.572	3.043	
4284	790111.1	-0.522	2.927	
4294	794416.6	-0.422	3.179	
4304	797946.2	-0.627	3.659	
4314	800311.5	-0.618	3.94	
4324	802676.9	-0.599	3.74	
4334	805042.3	-0.615	3.673	
4344	807407.7	-0.557	3.833	
4354	809773.1	-0.481	3.762	
4364	812138.4	0.013	3.44	
4374	814503.8	-0.436	3.584	
4384	816869.2	-0.485	3.519	
4394	819234.6	-0.422	3.477	
4404	821600	-0.495	3.149	
4414	829149.8	-0.636	3.845	
4424	836700	-0.353	3.413	
4434	839057.1	-0.471	3.102	
4444	841414.2	-0.438	3.246	
4454	843771.4	-0.545	3.338	
4464	846128.6	-0.513	3.291	
4474	848485.8	-0.296	3.45	
4484	850842.9	-0.372	3.133	
4494	853200	-0.343	2.96	
4504	855422.3	-0.316	2.782	
4534	862088.9	-0.366	2.827	
4544	863652	-0.405	3.241	
4554	864556	-0.703	2.946	
4564	865460	-0.594	3.413	
4604	869076	-0.701	3.972	
4614	869980	-0.543	3.674	
4624	870884	-0.662	4.087	
4634	871788	-0.695	3.918	
4644	872692	-0.818	3.863	
4654	873596	-0.731	3.89	
4664	874500	-0.72	3.695	
4674	876190.5	-0.205	3.718	
4686	878219.1	-0.337	3.697	
4696	879909.5	-0.689	3.687	
4706	881600	-0.688	3.725	
4716	885739.9	-0.488	3.842	
4746	898159.9	-0.488	3.679	
4756	902300	-0.628	3.476	
4766	904566.7	-0.635	3.413	
4776	906833.3	-0.763	3.352	
4786	909100	-0.681	3.495	
4796	911366.6	-0.8	3.438	
4806	913633.4	-0.847	3.452	
4816	915900	-0.772	3.49	
4826	918240	-0.85	3.651	
4846	922920	-0.618	3.744	
4866	927600	-0.712	3.154	
4876	928833.3	-0.547	3.383	
4886	930066.7	-0.573	3.178	
4896	931300	-0.425	3.177	
4916	933766.7	-0.825	3.039	
4926	935000	-0.492	2.907	
4936	940900.1	-0.197	3.01	
